Issue;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Spotbugs;Spotbugs-fbinfer;Infer;Detekt;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;
DubiousListCollection;Runtime;No;;;;;;;;;;;;✅;;;;This class defines a field based on java.util.List, but uses it to some extent like a Set. Since lookup type operations are performed using a linear search for Lists, the performance for large Lists will be poor. If the list is known to only contain a small number of items (3, 4, etc), then it doesn't matter. Otherwise, consider changing this field's implementation to a set-based one. If order of iteration is important to maintain insert order, perhaps consider a LinkedHashSet.;;;;;DubiousListCollection1.txt;DubiousListCollection2.txt;;A developer needs to To check for the existence of a user ID in a large list of moderators;;;;;
DubiousSetofCollections;Runtime;No;;;;;;;;;;;;✅;;;;When a method creates a set that contains other collections, or a Map whose keySet is another collection. As collections tend to calculate hashCode, equals, and compareTo by iterating the contents of the collection, this can perform poorly. In addition, when a set is used, you typically are using it to do 'contains', or 'find' type functionality, which seems dubious when done on a collection. Finally, as a collection is often modified, problems will occur if the collection is contained in a set, because the hashCode, equals or compareTo values will change while the collection is in the set. If you wish to maintain a collection of collections, it is probably better to use a List as the outer collection.;;;;;DubiousSetofCollections1.txt;DubiousSetofCollections2.txt;;A developer needs to use a HashSet  to store unique permission sets for each user type;;;;;
ContainsOnCollectedStream;Runtime;No;;;;;;;;;;;;✅;;;;When a method builds a collection using lambda expressions with a collect terminal operation. It then immediately calls the contains() method on it, to see if an item is present. This is sub optimal as the lambda still needs to build the entire collection, iterating the entire source list. It is better to use anyMatch() to short circuit the building of the collection.;;;;;ContainsOnCollectedStream1.txt;ContainsOnCollectedStream2.txt;;A developer checks if a product is in stock by streaming;;;;;
AvoidSizeOnCollectedStream;Runtime;No;;;;;;;;;;;;✅;;;;When a  methods builds a collection using lambda expressions with a collect terminal operation. It then immediately calls the size() method on it, to get a count of items. This is sub optimal as the lambda still needs to build the entire collection, iterating the entire source list. It is better to use count() predicate to short circuit the building of the collection. If you were using a Set, then also add the distinct() predicate.;;;;;AvoidSizeOnCollectedStream1.txt;AvoidSizeOnCollectedStream2.txt;;To count the number of active users, a developer streams, filters them and then needs to calcule the size of the filtered set;;;;;
UseFindFirst;Runtime;No;;;;;;;;;;;;✅;;;;Use of streams data into a List just to call get(0) to get the first item. You can just use findFirst() to short circuit the processing of the stream.;;;;;UseFindFirst1.txt;UseFindFirst2.txt;;A developer uses streams to get the first premium user;;;;;
ExecutorNotShuttingDown;Memory;No;;;;;;;;;;;;✅;;;;Most ExecutorService objects must be explicitly shut down, otherwise their internal threads can prevent the JVM from ever shutting down, even when everything else has stopped.;;;;;ExecutorNotShuttingDown1.txt;ExecutorNotShuttingDown2.txt;; developer creates a temporary ExecutorService in a method to run a task;;;;;
DoubleBufferCopy;Runtime;No;;;;;;;;;;;;✅;;;;When a mehtod copies data from input to output using streams or reader/writers using a well known copy method, from java.nio, commons-io, springframework, guava or poi. These methods are efficient in that they copy these files using buffers. However, this method is also buffering the streams, causing a double buffering to occur. So data first goes to one buffer, then is copied to another buffer, before making it to the destination (or vice-versa). This just causes the copy operation to be inefficient both from a time perspective and a memory allocation one. When using these copy methods, do not pass buffered streams/readers/writers.;;;;;DoubleBufferCopy1.txt;DoubleBufferCopy2.txt;;A developer is neeeds buffering while reading files with FileInputStream ;;;;;
ListIndexIterating;Runtime;No;;;;;;;;;;;;✅;;;;Using an Iterator can perform better for certain List implementations (like LinkedList).;;;;;ListIndexIterating1.txt;ListIndexIterating2.txt;;A developer needs to  iterate a LinkedList;;;;;
LogToStringParameter;Runtime;No;;;;;;;;;;;;✅;;;;When a method uses parameterized logging to avoid the cost of string concatenation in the case that the log level does not meet the needed level. However, one or more of the parameters passed to the logging method uses .toString() to present a String representation for the parameter. This is unneeded as the logger will do this for you, and because it is explicitly done, will always be called even if the log statement is not actually written. Also, by dropping the '.toString()' you may avoid unnecessary NPEs. Just pass the variable as a parameter instead.;;;;;LogToStringParameter1.txt;LogToStringParameter2.txt;;A developer logs a user object with a custom message;;;;;
LogAppendedStringInFormat;Runtime;No;;;;;;;;;;;;✅;;;;When a  method uses an SLF4J or Log4j2 logger to log a string, where the first (format) string is created using concatenation. You should use {} markers to inject dynamic content into the string, so that String building is delayed until the actual log string is needed. If the log level is high enough that this log statement isn't used, then the appends will never be executed.;;;;;LogAppendedStringInFormat1.txt;LogAppendedStringInFormat2.txt;;A developer logs a user object with a custom message and needs to concatenate strings for that;;;;;
LocalSynchronizedCollection;Runtime;No;;;;;;;;;;;;✅;;;;A  method creates a synchronized collection and stores the reference to it in a local variable. As local variables are by definition thread-safe, it seems questionable that this collection needs to be synchronized.;;;;;LocalSynchronizedCollection1.txt;LocalSynchronizedCollection2.txt;;A developer needs to manipulate a local ArrayList In a single-threaded method;;;;;
UseSingletonList;Runtime;No;;;;;;;;;;;;✅;;;;A  method builds a list using Arrays.asList(foo), passing in a single element. Arrays.asList needs to first create an array from this one element, and then build a List that wraps this array. It is simpler to use Collections.singletonList(foo), which does not create the array, and produces a far simpler instance of List. Since both of these arrays are immutable (from the List's point of view) they are equivalent from a usage standpoint. There is one difference between Array.asList and Collections.singletonList that you should be mindful of. The rarely used set(index, value) method is allowed to be used with a List created by Array.asList, but not with Collections.singletonList. So if you do use the set(index, value) method continue using Arrays.asList.;;;;;UseSingletonList1.txt;UseSingletonList2.txt;;A developer needs to return a list containing a single literal string;;;;;
RunFinalization;Runtime;No;;;;;;;;;;;;✅;;;;"Manually triggering finalization can result in serious performance problems and may be masking resource cleanup bugs. Only the garbage collector, not application code, should be concerned with finalization.
";;;;;RunFinalization1.txt;RunFinalization2.txt;;Concerned about memory, a developer whants to improve memory consumption after running an heavy task;;;;;
CallingSizeOnSubContainer;Memory;No;;;;;;;;;;;;✅;;;;A method calls size on the keySet(), entrySet() or values() collections of a Map. These sub collections will have the same size as the base Map and so it is just simpler to call size on that Map. Calling size() on one of these sub collections will causes unnecessary allocations to occur.;;;;;CallingSizeOnSubContainer1.txt;CallingSizeOnSubContainer2.txt;;A developer checks if a map is empty when iterating a map through keySet();;;;;
ContainsKeyBeforeGet;Runtime;No;;;;;;;;;;;;✅;;;;A method checks for the presence of a key in a map using containsKey(), before attempting to fetch the value of the key using get(). This equates to doing two map lookups in a row. It is much simpler to just fetch the value with get, and checking for non null instead.;;;;;ContainsKeyBeforeGet1.txt;ContainsKeyBeforeGet2.txt;;A developer needs to get a value from a Map if exists;;;;;
GetBeforeRemove;Runtime;No;;;;;;;;;;;;✅;;;;A method fetches the value of an entry in a map using get(K k), and then follows it up with a remove(K k). Since a remove() also returns the value, there is no point for doing the get, and just causes two map lookups to occur when it can be done with just one.;;;;;GetBeforeRemove1.txt;GetBeforeRemove2.txt;;A developer needs to remove a value from a Map if exists and return it ;;;;;
NeedlessInstanceRetrieval;Runtime;No;;;;;;;;;;;;✅;;;;A method calls a method to load a reference to an object, and then only uses it to load a static member of that instance's class. It is simpler and more performant to just load the static field from the class itself.;;;;;NeedlessInstanceRetrieval1.txt;NeedlessInstanceRetrieval2.txt;;A developer needs to get a static constant ;;;;;
NeedlessMemberCollectionSynchronization;Runtime;No;;;;;;;;;;;;✅;;;;"A class defines a private collection member as synchronized. It appears, however, that this collection is only modified in a static initializer, or constructor. As these two areas are guaranteed to be thread safe, defining this collection as synchronized is unnecessary and a potential performance bottleneck.
";;;;;NeedlessMemberCollectionSynchronization1.txt;NeedlessMemberCollectionSynchronization2.txt;;A developer declares a synchronizedSet and populates it in the constructor;;;;;
OptionalPrimitiveVariantPreferred;Runtime;No;;;;;;;;;;;;✅;;;;"A method creates an Optional object to hold an int, double or long. In these cases it is more natural to use the Optional variants OptionalInt, OptionalDouble and OptionalLong.
";;;;;OptionalPrimitiveVariantPreferred1.txt;OptionalPrimitiveVariantPreferred2.txt;;A developer wants to use Optional*<> primitives to return user's age;;;;;
OptionalIssuesUsesImmediateExecution;Runtime;No;;;;;;;;;;;;✅;;;;A method uses the Optional.orElse() method passing in some code that will execute immediately, whether or not the else case of the Optional is needed. This may cause incorrect side effects to happen, or at the minimum, code to execute for no reason. It would be better to use Optional.orElseGet();;;;;OptionalIssuesUsesImmediateExecution1.txt;OptionalIssuesUsesImmediateExecution2.txt;;A developer provides a default value to an optional;;;;;
InstanceBasedThreadLocal;Memory;No;;;;;;;;;;;;✅;;;;When a ThreadLocal field is defined as being instance based (not static). As all ThreadLocal variables describe permanent reachability roots so far as the garbage collector is concerned, these variables will never be reclaimed (so long as the Thread lives). Since this ThreadLocal is instanced, you potentially will be creating many non-reclaimable variables, even after the owning instance has been reclaimed. It is almost a certainty that you want to use static based ThreadLocal variables.;;;;;InstanceBasedThreadLocal1.txt;InstanceBasedThreadLocal2.txt;;A developer needs to declare a ThreadLocal field in a request handler class;;;;;
PossibleMemoryBloat;Memory;No;;;;;;;;;;;;✅;;;;A class defines static fields that are Collections, StringBuffers, or StringBuilders that do not appear to have any way to clear or reduce their size. That is, a collection is defined and has method calls like {add(), append(), offer(), put(), ...} with no method calls to removal methods like {clear(), delete(), pop(), remove(), ...} This means that the collection in question can only ever increase in size, which is a potential cause of memory bloat.;;;;;PossibleMemoryBloat1.txt;PossibleMemoryBloat2.txt;;A developer creates a static final Map as an in-memory cache;;;;;
PreSizeCollections;Runtime;No;;;;;;;;;;;;✅;;;;This method allocates a collection using the default constructor even though it is known a priori (or at least can be reasonably guessed) how many items are going to be placed in the collection, and thus needlessly causes intermediate reallocations of the collection. You can use the constructor that takes an initial size and that will be much better, but due to the loadFactor of Maps and Sets, even this will not be a correct estimate.;;;;;PreSizeCollections1.txt;PreSizeCollections2.txt;;A developer needs to copy a 10,000-element list into a new ArrayList;;;;;
SubOptimalCollectionSizing;Runtime;No;;;;;;;;;;;;✅;;;;"This method allocates a collection using the a constructor that takes a size parameter. However, because Maps and Sets have a loading factor, passing in the exact size you want is an incorrect way to presize the collection, and may still cause reallocations. Since you are using Guava, it is better to use  Maps.newHashMapWithExpectedSize(c.size());  or Sets.newHashSetWithExpectedsize(c.size());  as this method calculates the correct size taking into account the loading factor. Alternatively, if you know that the collection will not grow beyond the initial size, you can specify a load factor of 1.0F in the constructor.";;;;;SubOptimalCollectionSizing1.txt;SubOptimalCollectionSizing2.txt;;A developer initializes a HashSet that will hold exactly 100 items;;;;;
StaticArrayCreatedInMethod;Runtime;No;;;;;;;;;;;;✅;;;;A  method creates an array initialized by constants. Each time this method is called this array will be recreated. It would be more performant to define the array as a static field of the class instead.;;;;;StaticArrayCreatedInMethod1.txt;StaticArrayCreatedInMethod2.txt;;A develper needs a method that returns a constant array of default values ;;;;;
SubOptimalExpressionOrder;Runtime;No;;;;;;;;;;;;✅;;;;A method builds a conditional expression, for example, in an if or while statement, where the expressions contain both simple local variable comparisons and comparisons on method calls. The expression orders these so that the method calls come before the simple local variable comparisons. This causes method calls to be executed in conditions when they do not need to be, and thus potentially causes a lot of code to be executed for nothing. By ordering the expressions so that the simple conditions containing local variable conditions are first, you eliminate this waste. This assumes that the method calls do not have side effects. If the methods do have side effects, it is probably a better idea to pull these calls out of the condition and execute them first, assigning a value to a local variable. In this way you give a hint that the call may have side effects.;;;;;SubOptimalExpressionOrder1.txt;SubOptimalExpressionOrder2.txt;;A developer needs complex conditional expressions in a if;;;;;
SQLInLoop;Runtime;No;;;;;;;;;;;;✅;;;;A  method executes SQL queries inside of a loop. This pattern is often inefficient as the number of queries may mushroom in fencepost cases. It is probably more performant to loop over the input and collect the key data needed for the query for all items, and issue one query using an in clause, or similar construct, and then loop over this result set, and fetch all the data at once.;;;;;SQLInLoop1.txt;SQLInLoop2.txt;;A developer needs to fetch data for 100 users from a database;;;;;
ContainsBeforeAdd;Runtime;No;;;;;;;;;;;;✅;;;;"This method checks to see if an element is not in a set before adding it. This is unnecessary as you can just add the item, and if the item exists, it won't add it, otherwise it will.
";;;;;ContainsBeforeAdd1.txt;ContainsBeforeAdd2.txt;;A developer needs to add a value to a set that might exist already;;;;;
ContainsBeforeRemove;Runtime;No;;;;;;;;;;;;✅;;;;"This method checks to see if an element is in a set before removing it. This is unnecessary as you can just remove the item, and if the item exists, it will return true.
";;;;;ContainsBeforeRemove1.txt;ContainsBeforeRemove2.txt;;A developer needs to remove a value from a set that might not exist yet;;;;;
TailRecursion;Memory;No;;;;;;;;;;;;✅;;;;"This method recursively calls itself as the last statement of the method (Tail Recursion). This method can be easily refactored into a simple loop, which will make it more performant, and reduce the stack size requirements.
";;;;;TailRecursion1.txt;TailRecursion2.txt;;A developer implements a fibonnacci algorithm ;;;;;
UseAddAll;Runtime;No;;;;;;;;;;;;✅;;;;"This method uses a simple for loop to copy the contents of a set, list, map key/value, array or other collection to another collection. It is simpler and more straightforward to just call the addAll method of the destination collection passing in the source collection. In the case that the source is an array, you can use the Arrays.asList method to wrap the array into a collection.
";;;;;UseAddAll1.txt;UseAddAll2.txt;;A developer needs to copy one list into another ;;;;;
UseEnumCollections;Runtime;No;;;;;;;;;;;;✅;;;;This class uses an ordinary set or map collection and uses an enum class as the key type. It is more performant to use the JDK 1.5 EnumSet or EnumMap classes.;;;;;UseEnumCollections1.txt;UseEnumCollections2.txt;;A developer needs a Map to store Enum values as key;;;;;
UnjitableMethod;Runtime;No;;;;;;;;;;;;✅;;;;This method is longer than 8000 bytes. By default the JIT will not attempt to compile this method no matter how hot it is, and so this method will always be interpreted. If performance is important, you should consider breaking this method up into smaller chunks. (And it's probably a good idea for readability too!);;;;;UnjitableMethod1.txt;UnjitableMethod2.txt;;A developer needs to write a very extensive method;;;;;
ArrayPrimitive;Runtime;No;;;;;;;;;;;;;;✅;✅;Using `Array<Primitive>` leads to implicit boxing and performance hit. Prefer using Kotlin specialized Array Instances.  Kotlin has specialized arrays to represent primitive types without boxing overhead, such as `IntArray`, `ByteArray` and so on.;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/ArrayPrimitive.kt;Replace generic Arrays with specialized arrays;;;ArrayPrimitive1.txt;ArrayPrimitive2.txt;; A developer needs an Array to store millions of integers;;;;;
CouldBeSequence;Runtime;No;;;;;;;;;;;;;;✅;✅;Long chains of collection operations will have a performance penalty due to a new list being created for each call. Consider using sequences instead;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/CouldBeSequence.kt;Use sequences instead;;;CouldBeSequence1.txt;CouldBeSequence2.txt;;A developer needs to perform  multiple map and filter operations on a large collection;;;;;
ForEachOnRange;Runtime;No;;;;;;;;;;;;;;✅;✅;Using the forEach method on ranges has a heavy performance cost. Prefer using simple for loops.  Benchmarks have shown that using forEach on a range can have a huge performance cost in comparison to  simple for loops. Hence, in most contexts, a simple for loop should be used instead.;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/ForEachOnRange.kt;To solve this code smell, the forEach usage over an range should be replaced by a for loop;;;ForEachOnRange1.txt;ForEachOnRange2.txt;;A developer needs to perform a loop form 1 to 1 million;;;;;
SpreadOperator;Memory;No;;;;;;;;;;;;;;✅;✅;In most cases using a spread operator causes a full copy of the array to be created before calling a method.  This has a very high performance penalty.  The Kotlin compiler since v1.1.60 has an optimization that skips the array copy when an array constructor function is used to create the arguments that are passed to the vararg parameter. This case will not be flagged by the rule since it doesn't suffer the performance penalty of an array copy.;;Refactor in order to the array copy be skipped for the usage of the spread operator;;;SpreadOperator1.txt;SpreadOperator2.txt;;a developer needs to write a function to process a large array and already has a function to do that in the same class that receives an unlimited number of arguments;;;;;
UnnecessaryPartOfBinaryExpression;Runtime;No;;;;;;;;;;;;;;✅;✅;when a method uses unnecessary binary expressions, including those in `if` and `when` conditions, as well as all predicates.;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/UnnecessaryPartOfBinaryExpression.kt;Remove unncessary part of binary expression;;;UnnecessaryPartOfBinaryExpression1.txt;UnnecessaryPartOfBinaryExpression2.txt;;A developer writes if with fixed constatn values;;;;;
UnnecessaryTypeCasting;Runtime;No;;;;;;;;;;;;;;✅;✅;Cast in a unnecessary type casting. Cases like this can be replaced with type checking for performance reasons.;https://github.com/detekt/detekt/blob/main/detekt-rules-performance/src/main/kotlin/dev/detekt/rules/performance/UnnecessaryTypeCasting.kt;Use type checking instead.;;;UnnecessaryTypeCasting1.txt;UnnecessaryTypeCasting2.txt;;A developer needs to get the lenght of a string after a if (obj is String) block;;;;;
