Issue;Side-Effect;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Spotbugs;Spotbugs-fbcontrib;Infer;Detekt;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;
DuplicateStrings;Runtime;Resource Management, Code Smell;Yes;;;;✅;;;;;;;;;;;✅;Duplicate strings can make applications larger unnecessarily. This lint check looks for duplicate strings, including differences for strings where the only difference is in capitalization. Title casing and all uppercase can all be adjusted in the layout or in code.;https://googlesamples.github.io/android-custom-lint-rules/checks/DuplicateStrings.md.html;duplicate strings (including those differing only by case). These increase the size of the application unnecessarily.;*.xml;Warning;DuplicateStrings1.txt;DuplicateStrings2.txt;"Although the strings are identical in the source language, they might represent different concepts that require different translations in another language (e.g., ""OK"" as a button label vs. ""OK"" as a status).";A developer is localizing their application and has to define multiple similar strings in the strings.xml resource file;;;;;
ExpensiveAssertion;Runtime;Unnecessary Computation, Code Smell;Yes;;;;✅;;;;;;;;;;;✅;In Kotlin, assertions are not handled the same way as from the Java programming language. In particular, they're just implemented as a library call, and inside the library call the error is only thrown if assertions are enabled.This means that the arguments to the assert call will always be evaluated. If you're doing any computation in the expression being asserted, that computation will unconditionally be performed whether or not assertions are turned on. This typically turns into wasted work in release builds. This check looks for cases where the assertion condition is nontrivial, e.g. it is performing method calls or doing more work than simple comparisons on local variables or fields.;https://googlesamples.github.io/android-custom-lint-rules/checks/ExpensiveAssertion.md.html;n Kotlin, assertions are implemented as library calls, meaning computations in the assert statement are always evaluated regardless of whether assertions are enabled. Avoid performing expensive computations within assertions.;*.java, *.kt;Warning;ExpensiveAssertion1.txt;ExpensiveAssertion2.txt;The assertion may be located in a test-only source set (src/test or src/androidTest) that is not compiled into the release application. In this context, its performance cost is irrelevant.;A developer is using Kotlin to implement data validation in a processing pipeline. He need to write an assertion that calls a complex validation method;;;;;
LaunchActivityFromNotification;Runtime;Code Smell;Yes;;;;✅;;;;;;;;;;;✅;Notifications should only launch activities — that's what users expect (and has been the guidance in both the Android SDK and Material Design documentation for a while).;https://googlesamples.github.io/android-custom-lint-rules/checks/LaunchActivityFromNotification.md.html;Notifications should launch activities, as that is what users expect. Avoid launching services or other components from notifications.;*.java, *.kt;Warning;LaunchActivityFromNotification1.txt;LaunchActivityFromNotification2.txt;"A notification may have action buttons that are intended to perform a background task without bringing the app to the foreground (e.g., ""Mark as Read"" or ""Delete""). These actions correctly launch a Service or BroadcastReceiver, not an Activity.";A developer is implementing a notification system for their messaging app. When a new message arrives a certain operation needs to start an operation that might need to trigger a background task;;;;;
NotificationTrampoline;Runtime;Obsolete Solution;Yes;;;;✅;;;;;;;;;;;✅;A Service or a BroadcastReceiver should not be used as an intermediate, because this can lead to significant performance problems, and as a result, this will not be allowed in Android 12.;https://googlesamples.github.io/android-custom-lint-rules/checks/NotificationTrampoline.md.html;Avoid using a Service or BroadcastReceiver as an intermediary for launching activities from notifications, as this can cause performance issues. This behavior will be disallowed starting from Android 12.;*.java, *.kt;Error;NotificationTrampoline1.txt;NotificationTrampoline2.txt;This pattern was common and permissible before Android 12. The code may be part of an app that has not yet been updated to target the newer SDK, making the warning a forward-compatibility issue rather than a current bug.;A developer is building a notification feature that needs to perform some background work before showing UI.;;;;;
AutoboxingStateCreation;Runtime;Data Manipulation;No;;;;✅;;;;;;;;;;;✅;Calling mutableStateOf<t>() when T is either backed by a primitive type on the JVM or is a value class results in a state implementation that requires all state values to be boxed. This usually causes an additional allocation for each state write, and adds some additional work to auto-unbox values when reading the value of the state. Instead, prefer to use a specialized primitive state implementation for Int, Long, Float, and Double when the state does not need to track null values and does not override the default SnapshotMutationPolicy. See mutableIntStateOf(), mutableLongStateOf(), mutableFloatStateOf(), and mutableDoubleStateOf() for more information.;https://googlesamples.github.io/android-custom-lint-rules/checks/AutoboxingStateCreation.md.html;Use mutableIntStateOf(), mutableLongStateOf(), etc. instead of mutableStateOf() for primitives.;*.java, *.kt;Warning;AutoboxingStateCreation1.txt;AutoboxingStateCreation2.txt;The primitive specializations like mutableIntStateOf do not support null values. If the state needs to be nullable (e.g., MutableState<Int?>), the generic mutableStateOf must be used.;A developer is implementing a Jetpack Compose UI that needs to track an integer counter. ;;;;;
AutoboxingStateValueProperty;Runtime;Data Manipulation, Unnecessary Computation;No;;;;✅;;;;;;;;;;;✅;Avoid using the generic value property when using a specialized State type. Reading or writing to the state's generic value property will result in an unnecessary autoboxing operation. Prefer the specialized value property (e.g. intValue for MutableIntState), or use property delegation to avoid unnecessary allocations.;https://googlesamples.github.io/android-custom-lint-rules/checks/AutoboxingStateValueProperty.md.html;Use .intValue, .longValue, etc., instead of .value when using specialized state types.;*.java, *.kt;Warning;AutoboxingStateValueProperty1.txt;AutoboxingStateValueProperty2.txt;The code may be part of a generic composable function that operates on MutableState<T>. To compile, this generic code must use the .value property. The warning becomes a false positive when T happens to be a primitive type like Int.;A developer is working with a specialized MutableIntState in Jetpack Compose. It is required to access the state value;;;;;
FrequentlyChangedStateReadInComposition;Runtime;Unnecessary Computation;Yes;;;;✅;;;;;;;;;;;✅;This property is observable and is updated after every scroll or remeasure. If you use it in the composable function directly, it will be recomposed on every change, causing potential performance issues including infinity recomposition loops. Prefer wrapping it with derivedStateOf to use calculation based on this property in composition or collect changes inside LaunchedEffect instead.;https://googlesamples.github.io/android-custom-lint-rules/checks/FrequentlyChangedStateReadInComposition.md.html;Wrap frequently updated state in derivedStateOf to reduce recompositions.;*.java, *.kt;Warning;FrequentlyChangedStateReadInComposition1.txt;FrequentlyChangedStateReadInComposition2.txt;The recomposition might be intentional and desired. For example, a debugging tool that displays real-time scroll coordinates needs to recompose on every scroll change.;"A developer is implementing a scrollable list in Jetpack Compose. It it required to implement composable function to show a ""scroll to top"" button";;;;;
KaptUsageInsteadOfKsp;Runtime;Build Optimization, Obsolete Solution;Yes;;;;✅;;;;;;;;;;;✅;KSP is a more efficient replacement for kapt. For libraries that support both, KSP should be used to improve build times.;https://googlesamples.github.io/android-custom-lint-rules/checks/KaptUsageInsteadOfKsp.md.html;Switch to KSP for annotation processing if supported.;*.gradle;Warning;KaptUsageInsteadOfKsp1.txt;KaptUsageInsteadOfKsp2.txt;The project may depend on a library that provides an annotation processor but does not yet offer support for KSP. In this case, the developer is forced to continue using KAPT for that processor.;A developer is setting up dependency injection with Dagger Hilt in their project. They need to configure the build.gradle file to use annotation processing;;;;;
NotifyDataSetChanged;Runtime;Suboptimal Algorithm, Obsolete Solution;Yes;;;;✅;;;;;;;;;;;✅;The RecyclerView adapter's onNotifyDataSetChanged method does not specify what about the data set has changed, forcing any observers to assume that all existing items and structure may no longer be valid. LayoutManagers will be forced to fully rebind and relayout all visible views.;https://googlesamples.github.io/android-custom-lint-rules/checks/NotifyDataSetChanged.md.html;Use specific update methods (notifyItemInserted(), notifyItemRemoved()) or DiffUtil;*.java, *.kt;Warning;NotifyDataSetChanged1.txt;NotifyDataSetChanged2.txt;When the underlying data source has changed so fundamentally that calculating fine-grained update events is impossible or more expensive than a full redraw (e.g., after a full data refresh from a server), notifyDataSetChanged() is the correct and intended fallback mechanism.;A developer is implementing a dynamic list with RecyclerView that updates when new data arrives. ;;;;;
UnnecessaryArrayInit;Runtime;Data Manipulation, Unnecessary Computation;No;;;;✅;;;;;;;;;;;✅;When constructing an array in Kotlin, you don't need to pass a lambda to set the initial value if it's identical to the default or if you're going to overwrite all the values without reading them anyway.;https://googlesamples.github.io/android-custom-lint-rules/checks/UnnecessaryArrayInit.md.html;don't  explicitly inititialize an array with zeroed values if not needed. Example: val startPoints = remember { IntArray(4) { 0 } };*.java, *.kt;Warning;UnnecessaryArrayInit1.txt;UnnecessaryArrayInit2.txt;The array may only be partially overwritten after initialization. In this case, the explicit initialization is necessary to ensure that all unwritten elements have a known default value.;A developer is creating an array to store temporary calculation results in Kotlin. ;;;;;
SyntheticAccessor;Runtime;Suboptimal Algorithm;No;;;;✅;;;;;;;;;;;✅;A private inner class which is accessed from the outer class will force the compiler to insert a synthetic accessor. this means that you are causing extra overhead. This is not important in small projects, but is important for large apps running up against the 64K method handle limit, and especially for libraries where you want to make sure your library is as small as possible for the cases where your library is used in an app running up against the 64K limit.;https://googlesamples.github.io/android-custom-lint-rules/checks/SyntheticAccessor.md.html;Change the modifier of the class, method or field to protected or public;*.java, *.kt;Warning;SyntheticAccessor1.txt;SyntheticAccessor2.txt;A developer might choose to keep a member private and accept the minor performance overhead of a synthetic accessor as a trade-off for maintaining stricter encapsulation, rather than widening its visibility to package-private or protected.;A developer is creating a inner class that needs to access fields or methods from the outer class;;;;;
UseOfNonLambdaOffsetOverload;Runtime;Unnecessary Computation;No;;;;✅;;;;;;;;;;;✅;Modifier.offset() is recommended to be used with static arguments only to avoid unnecessary recompositions. Modifier.offset{ } is preferred in the cases where the arguments are backed by a State.;https://googlesamples.github.io/android-custom-lint-rules/checks/UseOfNonLambdaOffsetOverload.md.html;Use Modifier.offset {} instead of Modifier.offset(x, y) for state-backed offsets.;*.java, *.kt;Warning;UseOfNonLambdaOffsetOverload1.txt;UseOfNonLambdaOffsetOverload2.txt;The offset value may be calculated from multiple, complex state objects. A developer might perform this calculation outside the offset modifier for better code clarity and pass the final result to the non-lambda overload, accepting the potential for extra recompositions as a trade-off for readability.;A developer is implementing an animated UI element in Jetpack Compose that changes position based on user interaction.;;;;;
InefficientKeySetIterator;Runtime;Data Manipulation, Suboptimal Algorithm;NO;;;;;;;;;;;✅;;✅;;✅?;Occurs when there are inefficient uses of iterators that iterate on keys then lookup their values, instead of iterating on key-value pairs directly;https://fbinfer.com/docs/all-issue-types#inefficient_keyset_iterator;It is more efficient to iterate over the loop with entrySet which returns key-vaue pairs and gets rid of the hashMap lookup.;*.java, *.kt;Warning;InefficientKeySetIterator1.txt;InefficientKeySetIterator2.txt;In a loop where the value associated with the key is only needed conditionally, iterating keySet and calling get() only when necessary could, in rare cases, be more performant than creating an Entry object for every single item via entrySet.;A developer needs to iterate a Map instance and access values corresponding to  keys;;;;;
InvariantCall;Runtime;Unnecessary Computation;No;;;;;;;;;;;;;✅;;✅?;Missed opportunities to hoist function calls that are invariant to outside of loop bodies. This happens when the function has no side side effects (pure), has invariant arguments and result (i.e. have the same value in all loop iterations) and it is guaranteed to execute, i.e. it dominates all loop sources;https://fbinfer.com/docs/all-issue-types#invariant_call;Move the function to outside of the loop body;*.java, *.kt;Warning;InvariantCall1.txt;InvariantCall2.txt;"The static analysis tool may incorrectly identify a method as ""invariant"" or ""pure."" The method might have hidden side effects or depend on a global state that can change during the loop's execution, making it unsafe to hoist out of the loop.";A developer is implementing a complex loop that manipulates a lot of variables. ;;;;;
IPCOnUIThread;Runtime;Suboptimal Algorithm, RPC/IPC;No;;;;;;;;;;;;;✅;;✅?;A blocking Binder IPC call occurs on the UI thread;NA;Move any blocking Binder or IPC calls off the main/UI thread and execute them on a background thread.;*.java, *.kt;Warning;IPCOnUIThread1.txt;IPCOnUIThread2.txt;The Inter-Process Communication (IPC) call might be known to be extremely fast and effectively non-blocking because it retrieves a simple, cached value from a local service. While technically an IPC call, its real-world performance impact is zero.;A developer needs to access a content provider directly or indirectly via Binder IPC;;;;;
RegexOpOnUIThread;Runtime;Unnecessary Computation;No;;;;;;;;;;;;;✅;;✅?;"A potentially costly operation on a regular expression occurs on the UI thread.
";NA;Move any potentially computationally expensive computitation to a background thread;*.java, *.kt;Warning;RegexOpOnUIThread1.txt;RegexOpOnUIThread2.txt;The regular expression being used could be very simple (e.g., no complex backtracking) and executed on a short, known-size string. In such cases, the operation is guaranteed to be non-blocking and safe to perform on the UI thread.;A developer uses a greedy regular expression to parse lines from a large text;;;;;
ExpensiveExecutionTime;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;;;✅;;✅?;This warning indicates that the procedure has non-constant and non-top execution cost. ;https://fbinfer.com/docs/all-issue-types#expensive_execution_time;Eventually optimize the expensive code to reduce computational complexity or improve algorithm efficiency.;*.java, *.kt;Warning;ExpensiveExecutionTime1.txt;ExpensiveExecutionTime2.txt;A method with a high theoretical complexity (e.g., O(n²)) might be flagged as expensive. However, in practice, it may only ever be called with a very small input size N, making its actual execution time negligible and the warning irrelevant.;A developer develops a suboptimal algorithm with non-constant execution time;;;;;
HugeSharedStringConstant;Memory;Data Manipulation;No;;;;;;;;;;;✅;;;;;A large String constant is duplicated across multiple class files. This is likely because a final field is initialized to a String constant, and the Java language mandates that all references to a final field from other classes be inlined into that classfile;;"Either remove the keyword ""final"" from the String constant declaration or to ""reorg"" the declaration to be followed by a static block that performs the  initializion of the string ";*.java, *.kt;Warning;HugeSharedStringConstant1.txt;HugeSharedStringConstant2.txt;The inlining of a final static string constant might be the desired behavior for performance reasons, as it replaces a field lookup with a direct value at compile time, trading larger class files for faster execution.;A developer defines a huge string as final and shares it across several classes;;;;;
ExplicitGarbageCollection;Runtime;Suboptimal Algorithm, Code Smell;No;;;;;;;;;;;✅;;;;;Code that explicitly invokes garbage collection. Except for specific use in benchmarking, this is very dubious. In the past, situations where people have explicitly invoked the garbage collector in routines such as close or finalize methods has led to huge performance black holes. Garbage collection can be expensive. Any situation that forces hundreds or thousands of garbage collections will bring the machine to a crawl.;;;*.java, *.kt;Warning;ExplicitGarbageCollection1.txt;ExplicitGarbageCollection2.txt;A call to System.gc() is sometimes used justifiably in benchmarking or testing scenarios to create a consistent memory baseline before running a performance-sensitive test. It should not exist in production code.;A developer is implementing memory-greedy tasks;;;;;
BoxedPrimitiveToString;Memory;Data Manipulation, Unnecessary Computation;No;;;;;;;;;;;✅;;;✅;;A boxed primitive is allocated just to call toString(). It is more effective to just use the static form of toString which takes the primitive value.;https://spotbugs.readthedocs.io/en/stable/bugDescriptions.html#bx-method-allocates-a-boxed-primitive-just-to-call-tostring-dm-boxed-primitive-tostring;use the static method toString instead;*.java, *.kt;Warning;BoxedPrimitiveToString1.txt;BoxedPrimitiveToString2.txt;The code might be operating on a generic Object or Number type, not a specific primitive wrapper. In a generic context, calling the instance method .toString() is the only option. The warning becomes a false positive if this generic code happens to be used with a boxed primitive.;For logging, a developer converts an int score to a string ;;;;;
BoxedPrimitiveForParsing;Memory;Data Manipulation, Unnecessary Computation;No;;;;;;;;;;;✅;;;;;A boxed primitive is created from a String, just to extract the unboxed primitive value. It is more efficient to just call the static parseXXX method.;;Just call the static parseXXX method instead;*.java, *.kt;Warning;BoxedPrimitiveForParsing1.txt;BoxedPrimitiveForParsing2.txt;This pattern can be used to handle a NumberFormatException in a generic way for different numeric types, sometimes leading to more concise error-handling code.;A developer parses a user's age from a string;;;;;
BoxedPrimitiveForCompare;Memory;Data Manipulation, Unnecessary Computation;No;;;;;;;;;;;✅;;;;;A boxed primitive is created just to call compareTo() method. It's more efficient to use static compare method (for double and float since Java 1.4, for other primitive types since Java 7) which works on primitives directly.;;Just call the static compare method instead;*.java, *.kt;Warning;BoxedPrimitiveForCompare1.txt;BoxedPrimitiveForCompare2.txt;The code may be targeting a Java version older than Java 7, where the static Integer.compare(a, b) method did not exist, making new Integer(a).compareTo(b) a necessary pattern.;A developer needs to compare prices when sorting products by price;;;;;
UnboxedAndCorecedForTernaryOperator;Runtime;Data Manipulation;No;;;;;;;;;;;✅;;;;;A wrapped primitive value is unboxed and converted to another primitive type as part of the evaluation of a conditional ternary operator (the b ? e1 : e2 operator). The semantics of Java mandate that if e1 and e2 are wrapped numeric values, the values are unboxed and converted/coerced to their common type (e.g, if e1 is of type Integer and e2 is of type Float, then e1 is unboxed, converted to a floating point value, and boxed);;Use primitive types directly if possible or us explicit type casting or conversion outside the ternary operator;*.java, *.kt;Warning;UnboxedAndCorecedForTernaryOperator1.txt;UnboxedAndCorecedForTernaryOperator2.txt;;A developer decides to use a ternary operator to manipulate Number objects;;;;;
UnboxingImmediatelyReboxed;Runtime;Data Manipulation, Unnecessary Computation;No;;;;;;;;;;;✅;;;;;"A boxed value is unboxed and then immediately reboxed.
";;Eliminate unnecessary unboxing and reboxing;*.java, *.kt;Warning;UnboxingImmediatelyReboxed1.txt;UnboxingImmediatelyReboxed2.txt;This is unavoidable when a value from a collection of boxed primitives (e.g., List<Integer>) is retrieved, modified, and then stored back into the collection.;In a loop, a developer increments a cached Integer value ;;;;;
BoxingImmediatelyUnboxed;Runtime;Data Manipulation, Unnecessary Computation;No;;;;;;;;;;;✅;;;;;A primitive is boxed, and then immediately unboxed. This probably is due to a manual boxing in a place where an unboxed value is required, thus forcing the compiler to immediately undo the work of the boxing;;Eliminate unnecessary boxing and unboxing;*.java, *.kt;;BoxingImmediatelyUnboxed1.txt;BoxingImmediatelyUnboxed2.txt;This could be necessary when interacting with a legacy or poorly designed API that requires a boxed primitive, even if the value is immediately unboxed afterward.;A developer manually boxes a primitive int with new Integer(x) before passing it to a method that requires a primitive int;;;;;
BoxingImmediatelyUnboxedToPerformCoercion;Runtime;Data Manipulation, Unnecessary Computation;No;;;;;;;;;;;✅;;;;;A primitive boxed value constructed and then immediately converted into a different primitive type (e.g., new Double(d).intValue()). ;;Just perform direct primitive coercion (e.g., (int) d).;*.java, *.kt;;BoxingImmediatelyUnboxedToPerformCoercion1.txt;BoxingImmediatelyUnboxedToPerformCoercion2.txt;A developer may be working with a generic Number object and needs to convert it. Using a method like myNumber.doubleValue() is standard practice, even if it involves boxing/unboxing under the hood.;A developer needs to get the integer part of a Double;;;;;
NewForGetClass;Runtime;Unnecessary Computation;No;;;;;;;;;;;✅;;;;;"This method allocates an object just to call getClass() on it, in order to retrieve the Class object for it. It is simpler to just access the .class property of the class.
";;;*.java, *.kt;;NewForGetClass1.txt;NewForGetClass2.txt;In a generic context where the type is erased, creating a new instance might be the only way to get access to its Class object if T.class is not available.;A developer needs to obtain a class object for logging purposes ;;;;;
NextIntViaNextDouble;Runtime;Suboptimal Algorithm;No;;;;;;;;;;;✅;;;;; Use the nextInt method of Random rather than nextDouble to generate a random integer;;;*.java, *.kt;;NextIntViaNextDouble1.txt;NextIntViaNextDouble2.txt;The pattern (int)(random.nextDouble() * n) might be used intentionally to achieve a specific non-uniform statistical distribution that random.nextInt(n) does not provide.;A developer needs a  random item from an array of 10 items;;;;;
UnusedField;Memory;Code Smell, Unnecessary Computation;No;;;;;;;;;;;✅;;;;;"If the field is never used, consider removing it from the class.
";;;*.java, *.kt;;UnusedField1.txt;UnusedField2.txt;The field may be used via reflection by a serialization library (like Gson or Jackson), a dependency injection framework, or for data binding. Static analysis tools often cannot detect reflective usage.;A developer adds a boolean isDebug flag for testing;;;;;
UnreadField;Memory;Code Smell;No;;;;;;;;;;;✅;;;;;If the field is never read, consider removing it from the class.;;;*.java, *.kt;;UnreadField1.txt;UnreadField2.txt;Similar to UnusedField, the field might be set but only ever read by an external system, such as a debugging tool or a testing framework that inspects the object's state via reflection.;A developer sets an isModified flag to true whenever data changes;;;;;
UncalledPrivateMethod;Memory;Code Smell;No;;;;;;;;;;;✅;;;;;When a private method is never called. Although it is possible that the method will be invoked through reflection, it is more likely that the method is never used, and should be removed.;;;*.java, *.kt;;UncalledPrivateMethod1.txt;UncalledPrivateMethod2.txt;The private method might be called via reflection (e.g., by a testing framework) or its removal may be pending a larger refactoring.;A developer is refactoring a validation check into a separate utility class that has several private methods;;;;;
UseStringBufferConcatenation;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;;;;;;;✅;;;;;The method seems to be building a String using concatenation in a loop. In each iteration, the String is converted to a StringBuffer/StringBuilder, appended to, and converted back to a String. This can lead to a cost quadratic in the number of iterations, as the growing string is recopied in each iteration.;https://spotbugs.readthedocs.io/en/stable/bugDescriptions.html#sbsc-method-concatenates-strings-using-in-a-loop-sbsc-use-stringbuffer-concatenation;Better performance can be obtained by using a StringBuffer (or StringBuilder in Java 5) explicitly.;*.java, *.kt;;UseStringBufferConcatenation1.txt;UseStringBufferConcatenation2.txt;Modern Java compilers are highly effective at optimizing string concatenation. When the += operator is used inside a loop, the compiler often automatically converts the code to use an internal StringBuilder behind the scenes. Therefore, the generated bytecode can be just as performant as manually writing the StringBuilder code, making this warning a false positive on modern development platforms;A developer needs to concatenate a string;;;;;
ElementsGetLengthInLoop;Runtime;Data Access, Unnecessary Computation;No;;;;;;;;;;;✅;;✅;;;The method calls NodeList.getLength() inside the loop and NodeList was produced by getElementsByTagName call. This NodeList doesn't store its length, but computes it every time in not very optimal way. Consider storing the length to the variable before the loop.;;Consider storing the length to the variable before the loop.;*.java, *.kt;;ElementsGetLengthInLoop1.txt;ElementsGetLengthInLoop2.txt;If the NodeList can be modified by another thread while the loop is executing, caching its length would be a bug. Calling getLength() in each iteration ensures the loop is operating on the most up-to-date information.;A developer iterates through an XML NodeList;;;;;
PrepareStatementInLoop;Runtime;Data Access, Unnecessary Computation;No;;;;;;;;;;;✅;;;;;The method calls Connection.prepareStatement inside the loop passing the constant arguments. If the PreparedStatement should be executed several times there's no reason to recreate it for each loop iteration. Move this call outside the loop.;;;*.java, *.kt;;PrepareStatementInLoop1.txt;PrepareStatementInLoop2.txt;The SQL query string itself might be dynamically generated within each iteration of the loop, making it impossible to create a single PreparedStatement outside the loop.;A developer needs to insert a batch of records into a database;;;;;
PatternCompileInLoop;Runtime;Unnecessary Computation;No;;;;;;;;;;;✅;;;;;The method calls Pattern.compile inside the loop passing the constant arguments. If the Pattern should be used several times there's no reason to compile it for each loop iteration. Move this call outside the loop or even into static final field.;;;*.java, *.kt;;PatternCompileInLoop1.txt;PatternCompileInLoop2.txt;The regular expression pattern itself might be dynamically generated within each iteration, making it impossible to compile it outside the loop.;A developer needs to match a string to a regular expression in a loop;;;;;
InefficientLastIndexOf;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;;;;;;;✅;;;;;"Th4 code passes a constant string of length 1 to String.lastIndexOf(). It is more efficient to use the integer implementations of String.lastIndexOf(). f. e. call myString.lastIndexOf('.') instead of myString.lastIndexOf(""."")";;;*.java, *.kt;;InefficientLastIndexOf1.txt;InefficientLastIndexOf2.txt;The code may be written to handle a String variable that could contain multiple characters, even if it happens to hold a single character in a specific instance. Using lastIndexOf(String) is more robust for the general case.;A developer needs to get a file extension from a filename (String) using lastIndexOf;;;;;
UnnecessaryMath;Runtime;Unnecessary Computation, Suboptimal Algorithm;No;;;;;;;;;;;✅;;;;;This method uses a static method from java.lang.Math on a constant value. This method's result in this case, can be determined statically, and is faster and sometimes more accurate to just use the constant;https://spotbugs.readthedocs.io/en/stable/bugDescriptions.html#um-method-calls-static-math-class-method-on-a-constant-value-um-unnecessary-math;Use  constant values instead;*.java, *.kt;;UnnecessaryMath1.txt;UnnecessaryMath2.txt;A calculation like Math.sqrt(4.0) might be left in the code intentionally for clarity, showing the origin of the value (e.g., it was derived from a formula where the input was 4.0), even though it could be replaced with the constant 2.0.;A developer needs to perform math calculations for a reduced set of possible values;;;;;
BloatedSynchronizedBlock;Runtime;Concurrency;No;;;;;;;;;;;;✅;;;;This method implements a synchronized block, but the code found at the beginning of this block only accesses local variables, and not member variables or this. For better performance, move the code that accesses local variables only above the synchronized block, and leave the synchronized block only for field accesses, or access to this.;;Refactor synchronized block;*.java, *.kt;;BloatedSynchronizedBlock1.txt;BloatedSynchronizedBlock2.txt;The operations on local variables inside the synchronized block might be computationally trivial, and moving them out would make the code logic harder to follow for no tangible performance benefit.;A developer uses a synchronized block while managing a lot of variables and operations ;;;;;
DubiousListCollection;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;This class defines a field based on java.util.List, but uses it to some extent like a Set. Since lookup type operations are performed using a linear search for Lists, the performance for large Lists will be poor. If the list is known to only contain a small number of items (3, 4, etc), then it doesn't matter. Otherwise, consider changing this field's implementation to a set-based one. If order of iteration is important to maintain insert order, perhaps consider a LinkedHashSet.;;;*.java, *.kt;;DubiousListCollection1.txt;DubiousListCollection2.txt;The developer may intentionally use a List to preserve insertion order and allow duplicates, while accepting the performance cost of occasional contains() checks as a trade-off.;A developer needs to To check for the existence of a user ID in a large list of moderators;;;;;
DubiousSetofCollections;Runtime;Data Manipulation, Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;When a method creates a set that contains other collections, or a Map whose keySet is another collection. As collections tend to calculate hashCode, equals, and compareTo by iterating the contents of the collection, this can perform poorly. In addition, when a set is used, you typically are using it to do 'contains', or 'find' type functionality, which seems dubious when done on a collection. Finally, as a collection is often modified, problems will occur if the collection is contained in a set, because the hashCode, equals or compareTo values will change while the collection is in the set. If you wish to maintain a collection of collections, it is probably better to use a List as the outer collection.;;;*.java, *.kt;;DubiousSetofCollections1.txt;DubiousSetofCollections2.txt;This is a valid pattern for storing a set of unique composite items, where each item is itself a collection (e.g., a set of unique permission groups). As long as the inner collections are not modified while in the outer set, the behavior is well-defined.;A developer needs to use a HashSet  to store unique permission sets for each user type;;;;;
ContainsOnCollectedStream;Runtime;Unnecessary Computation, Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;When a method builds a collection using lambda expressions with a collect terminal operation. It then immediately calls the contains() method on it, to see if an item is present. This is sub optimal as the lambda still needs to build the entire collection, iterating the entire source list. It is better to use anyMatch() to short circuit the building of the collection.;;;*.java, *.kt;;ContainsOnCollectedStream1.txt;ContainsOnCollectedStream2.txt;The code may need the entire collected List for subsequent operations. The contains check is just one of several operations performed on the fully realized list after it has been collected.;A developer checks if a product is in stock by streaming;;;;;
AvoidSizeOnCollectedStream;Runtime;Unnecessary Computation, Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;When a  methods builds a collection using lambda expressions with a collect terminal operation. It then immediately calls the size() method on it, to get a count of items. This is sub optimal as the lambda still needs to build the entire collection, iterating the entire source list. It is better to use count() predicate to short circuit the building of the collection. If you were using a Set, then also add the distinct() predicate.;;;*.java, *.kt;;AvoidSizeOnCollectedStream1.txt;AvoidSizeOnCollectedStream2.txt;;To count the number of active users, a developer streams, filters them and then needs to calcule the size of the filtered set;;;;;
UseFindFirst;Runtime;Unnecessary Computation, Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;Use of streams data into a List just to call get(0) to get the first item. You can just use findFirst() to short circuit the processing of the stream.;;;*.java, *.kt;;UseFindFirst1.txt;UseFindFirst2.txt;The developer might intentionally want to collect all stream elements into a list for caching or debugging purposes first, and then retrieve the first element from that collected list.;A developer uses streams to get the first premium user;;;;;
ExecutorNotShuttingDown;Memory;Resource Management;No;;;;;;;;;;;;✅;;;;Most ExecutorService objects must be explicitly shut down, otherwise their internal threads can prevent the JVM from ever shutting down, even when everything else has stopped.;;;*.java, *.kt;;ExecutorNotShuttingDown1.txt;ExecutorNotShuttingDown2.txt;The ExecutorService might be a singleton instance that is intended to live for the entire application lifecycle and execute background tasks throughout. Such an executor is not meant to be shut down.; developer creates a temporary ExecutorService in a method to run a task;;;;;
DoubleBufferCopy;Runtime;Data Access, Suboptimal Algorithm;No;;;;;;;;;;;;✅;;;;When a mehtod copies data from input to output using streams or reader/writers using a well known copy method, from java.nio, commons-io, springframework, guava or poi. These methods are efficient in that they copy these files using buffers. However, this method is also buffering the streams, causing a double buffering to occur. So data first goes to one buffer, then is copied to another buffer, before making it to the destination (or vice-versa). This just causes the copy operation to be inefficient both from a time perspective and a memory allocation one. When using these copy methods, do not pass buffered streams/readers/writers.;;;*.java, *.kt;;DoubleBufferCopy1.txt;DoubleBufferCopy2.txt;The developer may not have control over one of the two buffering layers. For example, an API might require a BufferedInputStream, and the copy utility being used also happens to perform its own buffering.;A developer is neeeds buffering while reading files with FileInputStream ;;;;;
